---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 0.999
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000
num_episodes: 10000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs
saved_dir: output/gamma0999
log_file: output/gamma0999/train.log
gpu: 1
sim_rom_mode: False
--------

Episode: 84/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 85/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 86/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 87/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 88/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 89/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 90/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 91/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 92/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 93/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 94/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 95/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 96/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 97/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 98/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 99/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 100/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 101/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 102/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 103/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 104/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 105/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 106/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 107/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 108/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 109/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 110/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 111/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 112/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 113/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 114/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 115/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 116/10000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 117/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 118/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 119/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 120/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 121/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 122/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 123/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 124/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 125/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 126/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 127/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 128/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 129/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 130/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 131/10000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 132/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 133/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 134/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 135/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 136/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 137/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 138/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 139/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 140/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 141/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 142/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 143/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 144/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 145/10000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 146/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 147/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 148/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 149/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 150/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 151/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 152/10000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 153/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 154/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 155/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 156/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 157/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 158/10000, Score: 28, Tetrominoes 20, Cleared lines: 1
Episode: 159/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 160/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
