---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 1.0
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000.0
num_episodes: 100000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs/runs2
saved_dir: output/output2
log_file: output/output2/train.log
gpu: 0
sim_rom_mode: False
--------

Episode: 84/100000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 85/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 86/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 87/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 88/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 89/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 90/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 91/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 92/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 93/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 94/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 95/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 96/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 97/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 98/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 99/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 100/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 101/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 102/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 103/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 104/100000, Score: 30, Tetrominoes 22, Cleared lines: 1
Episode: 105/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 106/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 107/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 108/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 109/100000, Score: 23, Tetrominoes 25, Cleared lines: 0
Episode: 110/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 111/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 112/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 113/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 114/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 115/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 116/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 117/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 118/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 119/100000, Score: 23, Tetrominoes 25, Cleared lines: 0
Episode: 120/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 121/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 122/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 123/100000, Score: 24, Tetrominoes 26, Cleared lines: 0
Episode: 124/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 125/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 126/100000, Score: 32, Tetrominoes 24, Cleared lines: 1
Episode: 127/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 128/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 129/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 130/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 131/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 132/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 133/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 134/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 135/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 136/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 137/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 138/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 139/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 140/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 141/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 142/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 143/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 144/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 145/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 146/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 147/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 148/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 149/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 150/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 151/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 152/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 153/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 154/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 155/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 156/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 157/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 158/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 159/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 160/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 161/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 162/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 163/100000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 164/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 165/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 166/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 167/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 168/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
